,,,,,,,,,,,,,,,,,,,PER 24hs,,,,,
N,Dia,Hora de captura,Temp (°),Humedad (%),Nº de cepo,Guardian o Recolector,Nido,tiempo de incubadora,"Tratamiento (Sin Olor, sin  CNA, Caf, Arg, C+A)",E1,E2,E3,E4,E5,E6,LIO 40,NONA 40,Muere,LIO 24hs,NONA 24 hs,Peso,Peso total,Peso cepo,Peso neto
1,19/02/24,10:30,25º,65%,1,R,2,1:30,CAF,T,T,T,T,T,T,0,0,0,0,0,"0,185","6,0438","5,8588","0,185"
2,19/02/24,10:30,25º,65%,2,R,2,,CAF,T,T,T,T,T,T,0,0,0,0,0,"0,2025","6,0253","5,8228","0,2025"
3,19/02/24,10:30,25º,65%,3,G,2,,CAF,T,T,T,T,T ,T,0,0,0,0,0,"0,2045","6,9503","6,7458","0,2045"
4,19/02/24,10:30,25º,65%,4,G,2,,CAF,T,T,T,T,T,T,0,0,0,0,0,"0,2317","6,0573","5,8256","0,2317"
5,19/02/24,10:30,25º,65%,5,G,2,,CAF,T,T,T,T,T,T,0,0,0,0,0,"0,2176","6,0961","5,8785","0,2176"
6,19/02/24,10:30,25º,65%,6,G,2,,sinCNA,N,N,N,N,N,N,-,-,,-,-,"0,19","5,9992","5,8092","0,19"
7,19/02/24,10:30,25º,65%,7,G,2,,Sin Olor,T,T,T,T,T,T,0,0,0,,0,"0,1812","6,1945","6,0133","0,1812"
8,20/02/24,12,28º,68%,1,R,2,2:40,CAF,N,N,N,-,N,N,0,0,,x,x,,x,x,x
9,20/02/24,12,28º,68%,2,R,2,1 MUERTO,CAF,N,T,T,T,T,T,0,0,0,0,0,"0,1819","11,632","11,4501","0,1819"
10,20/02/24,12,28º,68%,3,R,2,,CAF,T,T,T,T,T,T,0,0,0,1,0,"0,3345","11,7336","11,3991","0,3345"
11,20/02/24,12,28º,68%,4,R,2,,CAF,T,T,T,T,T,T,0,0,0,0,-,"0,029","10,3964","10,3674","0,029"
12,20/02/24,12,28º,68%,5,G,2,,CAF,N,N,N,-,-,-,-,-,,x,x,"0,1166","10,6487","10,5321","0,1166"
13,20/02/24,12,28º,68%,6,G,2,,sinCNA,T,T,T,T,T,T,,0,0,0,-,"0,176","10,7507","10,5747","0,176"
14,20/02/24,12,28º,68%,7,G,2,,Sin OLOR,-,-,-,-,-,-,-,-,,x,x,"0,1774",x,x,"0,1774"
15,27/2/24,11:16,25º,69%,1,R,2,1:30,CAF+ARG,T,T,T,N,N,T,0,0,0,0,0,"0,1436","10,8","10,6564","0,1436"
16,27/2/24,11:16,25º,69%,2,R,2,1 MUERTO,CAF+ARG,T,T,T,T,T,T,0,0,0,1,0,"0,1591","11,808","11,6489","0,1591"
17,27/2/24,11:16,25º,69%,3,G,2,,CAF+ARG,N,T,N,N,T,N,0,0,,0,0,"0,115","10,9008","10,7858","0,115"
18,27/2/24,11:16,25º,69%,4,G,2,,CAF+ARG,T,T,T,T,T,T,0,0,0,0,0,"0,2149","11,423","11,2081","0,2149"
19,27/2/24,11:16,25º,69%,5,G,2,,CAF+ARG,T,T,T,T,T,T,0,0,0,0,1,"0,1234","11,3123","11,1889","0,1234"
20,27/2/24,11:16,25º,69%,6,G,2,,Sin CNA,T,T,T,T,T,T,0,0,0,1,1,"0,3359","10,8789","10,543","0,3359"
21,27/2/24,11:16,25º,69%,7,G,2,,Sin Olor,F,F,,,,,,,1,,,0,,,0
22,28/2/24,10:30,26º ,83%,1,R,2,2:30,CAF+ARG,N,N,N,T,T,T,0,0,0,1,0,"0,2003","11,3498","11,1495","0,2003"
23,28/2/24,10:30,26º ,83%,2,R,2,,CAF+ARG,T,T,T,T,T,T,1,0,0,0,0,0,,,
24,28/2/24,10:30,26º ,83%,3,R,2,,CAF+ARG,N,N,N,N,N,N,0,0,,,x,"0,0994","10,7068","10,6074","0,0994"
25,28/2/24,10:30,26º ,83%,4,R,2,,CAf+ARG,N,N,N,N,N,N,0,0,,,x,"0,3772","10,9412","10,564","0,3772"
26,28/2/24,10:30,26º ,83%,5,G,2,,CAF+ARG,T,T,T,T,T,T,(+++),0,0,0,0,"0,3136","10,5785","10,2649","0,3136"
27,28/2/24,10:30,26º ,83%,6,G,2,,sinCNA,N,N,N,N,N,N,0,0,,,x,"0,2663","10,4971","10,2308","0,2663"
28,28/2/24,10:30,26º ,83%,7,G,2,,sin olor,N,N,N,T,T,N,0,0,1,,x,0,,,"0,153"
29,4/3,10:15,18º,63%,1,R,2,2 HS,ARG,T,T,T,T,T,T,0,0,0,0,0,"0,1689","10,8873","10,7184","0,1689"
30,4/3,10:15,18º,63%,2,R,2,,ARG,T,T,T,T,T,T,0,0,0,1,(+),"-0,162","10,4622","10,6242","-0,162"
31,4/3,10:15,18º,63%,3,R,2,,ARG,T,T,T,T,T,T,0,0,0,1,1,"0,102","11,4697","11,3677","0,102"
32,4/3,10:15,18º,63%,4,R,2,,ARG,N,T,T,T,T,T,0,0,0,(++),0,"0,2714","10,755","10,4836","0,2714"
33,4/3,10:15,18º,63%,5,R,2,,ARG,T,T,T,T,T,T,0,0,0,1,0,"0,4755","11,1965","10,721","0,4755"
34,4/3,10:15,18º,63%,6,R,2,,ARG,N,N,N,T,T,T,0,0,0,0,0,"0,1699","11,0802","10,9103","0,1699"
35,4/3,10:15,18º,63%,7,G,2,,ARG,T,T,T,T,T,T,(+++),0,0,(+),0,"0,1425","10,839","10,6965","0,1425"
36,4/3,10:15,18º,63%,8,G,2,,SIN CNA,T,T,N,N,N,N,,0,1,X,F,#VALUE!,-,-,"0,1628"
37,4/3,10:15,18º,63%,9,G,2,,SIN CNA,T,T,T,T,T,T,1,0,0,1,0,"0,1542","10,9635","10,8093","0,1542"
38,4/3,10:15,18º,63%,10,G,2,,SIN OLOR,T,T,T,T,T,T,,0,0,0,0,"0,1213","11,9329","11,8116","0,1213"
39,05/03,11:40,22º,52%,1,R,2,1:30,ARG,T,T,T,T,A,T,0,1,0,0,0,"0,2242","11,6602","11,436","0,2242"
40,05/03,11:40,22º,52%,2,R,2,,ARG,T,T,T,T,A,T,0,1,0,1,1,"0,1866","11,367","11,1804","0,1866"
41,05/03,11:40,22º,52%,3,R,2,,ARG,T,T,T,T,T,T,0,0,0,0,0,"0,1615","12,0524","11,8909","0,1615"
42,05/03,11:40,22º,52%,4,R,2,,ARG,N,N,T,T,T,T,0,0,0,0,0,"0,2421","11,4196","11,1775","0,2421"
43,05/03,11:40,22º,52%,5,G,2,,SIN CNA,T,T,T,T,T,T,0,0,0,0,0,"0,3087","10,8739","10,5652","0,3087"
44,05/03,11:40,22º,52%,6,G,2,,SIN CNA,T,T,T,T,T,T,0,0,0,0,0,"0,1412","11,206","11,0648","0,1412"
45,05/03,11:40,22º,52%,7,G,2,,SIN OLOR,T,T,T,T,T,T,0,0,0,0,0,"11,1794","11,1794",,
46,18/03,9:40,25º,78%,1,R,2,7hs,SIN CNA,N,N,T,T,N,T,PER A 20       0,0,0,1,1,10.5309,10.5309,,
47,18/03,9:40,25º,78%,2,R,2,,SIN CNA,N,N,N,N,N,N,0,0,,0,0,11.2725,11.2725,,
48,18/03,9:40,25º,78%,3,R,2,,SIN CNA,T,T,T,T,T,T,0,0,0,0,0,"11,4241","11,4241",,
49,18/03,9:40,25º,78%,4,R,2,,CAF,T,T,T,A,A,A,1,0,0,1,1,"10,7321","10,7321",,
50,18/03,9:40,25º,78%,5,R,2,,CAF,T,T,T,T,T,T,0,0,0,(++),0,"10,9738","10,9738",,
51,18/03,9:40,25º,78%,6,G,2,,CAF,X,i,T,T,T,T,0,0,0,1,0,"11,1985","11,1985",,
52,18/03,9:40,25º,78%,7,G,2,,CAF,T,T,T,T,T,T,(+),0,0,0,0,"10,7537","10,7537",,
53,18/03,9:40,25º,78%,8,G,2,,SIN OLOR,T,T,T,T,T,T,0,0,0,1,1,"11,2198","11,2198",,
54,19/03,15:47,27º,81%,1,R,2,,CAF+ARG,N,N,N,N,N,N,,,,,,0,,,
55,19/03,15:47,27º,81%,2,R,2,,CAF+ARG,N,N,N,N,N,N,,,,,,0,,,
56,19/03,15:47,27º,81%,3,R,2,,CAF+ARG,T,N,N,N,N,N,,,,,,0,,,
57,19/03,15:47,27º,81%,4,R,2,,CAF+ARG,F?,N,N,N,N,N,,,,,,0,,,
58,19/03,15:47,27º,81%,5,R,2,,CAF+ARG,N,T,T,N,N,N,,,,,,0,,,
59,19/03,15:47,27º,81%,6,R,2,,SIN CNA,N,N,N,N,N,N,,,,,,0,,,
60,19/03,15:47,27º,81%,7,R,2,,SIN OLOR,N,N,N,N,N,N,,,,,,0,,,
61,25/3,8:30,22,59,1,r,2,7hs,CAF+ ARG,T,T,T,T,T,A,0,0,0,(++),0,0,14,"13,3603",
62,25/3,8:30,22,59,2,,2,,CAF+ARG,F,-,-,-,-,-,A LOS 20 MIN,,1,,-,0,,,"0,2693"
63,25/3,8:30,22,59,3,,4,,CAF+ARG,T,T,T,T,T,T,0,0,0,0,0,"0,2026","11,404","11,2014",
64,25/3,8:30,22,59,4,,4,,CAF+ARG,N,N,N,N,N,N,,,0,0,0,"0,1841","11,0078","10,8237",
65,25/3,8:30,22,59,5,,4,,CAF+ARG,T,T,T,T,T,T,0,0,0,0,0,"0,2377","10,7533","10,5156",
66,25/3,8:30,22,59,6,,4,,CAF+ARG,N,N,I,T,T,T,0,0,0,0,0,"0,3114","11,1684","10,857",
